;E;$2S_12$;$2C_6$;$2S_4$;$2C_3$;$2(S_12)^5$;$C_2$;$6C'_2$;$6σ_d$;h;= 24
D6d;1;2.0;2;2;2;2.0;1;6;6;;
A1;1;1.0;1;1;1;1.0;1;1;1;-;$x^2+y^2$, $z^2$
A2;1;1.0;1;1;1;1.0;1;-1;-1;$R_z$;-
B1;1;-1.0;1;-1;1;-1.0;1;1;-1;-;-
B2;1;-1.0;1;-1;1;-1.0;1;-1;1;z;-
E1;2;1.7320508075688772;1;0;-1;-1.7320508075688772;-2;0;0;(x, y);-
E2;2;1.0;-1;-2;-1;1.0;2;0;0;-;($x^2-y^2$, xy)
E3;2;0.0;-2;0;2;0.0;-2;0;0;-;-
E4;2;-1.0;-1;2;-1;-1.0;2;0;0;-;-
E5;2;-1.7320508075688772;1;0;-1;1.7320508075688772;-2;0;0;($R_x$, $R_y$);(xz, yz)
