;E;$2C_6(z)$;$2C_3$;$C_2$;$3C'_2$;$3C''_2$;i;$2S_3$;$2S_6$;$σ_h(xy)$;$3σ_d$;$3σ_v$;h;= 24
D6h;1;2;2;1;3;3;1;2;2;1;3;3;;
A1g;1;1;1;1;1;1;1;1;1;1;1;1;-;$x^2+y^2$, $z^2$
A2g;1;1;1;1;-1;-1;1;1;1;1;-1;-1;$R_z$;-
B1g;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-;-
B2g;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-;-
E1g;2;1;-1;-2;0;0;2;1;-1;-2;0;0;(R_x$, $R_y$);(xz, yz)
E2g;2;-1;-1;2;0;0;2;-1;-1;2;0;0;-;($x^2-y^2$, xy)
A1u;1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-;-
A2u;1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;z;-
B1u;1;-1;1;-1;1;-1;-1;1;-1;1;-1;1;-;-
B2u;1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-;-
E1u;2;1;-1;-2;0;0;-2;-1;1;2;0;0;(x, y);-
E2u;2;-1;-1;2;0;0;-2;1;1;-2;0;0;-;-
